cn,sv,vi
大元歴,Đại Nguyên Lịch,Đại Nguyên Lịch
後儂智髙,Hậu Nùng Trí Cao,Hậu Nùng Trí Cao
儻猶,Thảng Do,Thảng Do
大歴,Đại Lịch,Đại Lịch
癸亥,Quý Hợi,Quý Hợi
宋仁宗偵秋天聖,Tống Nhân Tông Trinh Thu Thiên Thánh,Tống Nhân Tông Trinh Thu Thiên Thánh
三藏,Tam Tạng,Tam Tạng
大興,Đại Hưng,Đại Hưng
潮陽,Triều Dương,Triều Dương
永安,Vĩnh An,Vĩnh An
甲子,Giáp Tí,Giáp Tí
宋天聖,Tống Thiên Thánh,Tống Thiên Thánh
開天王,Khai Thiên Vương,Khai Thiên Vương
峯州開國王,Phong Châu Khai Quốc Vương,Phong Châu Khai Quốc Vương
都金,Đô Kim,Đô Kim
昇龍,Thăng Long,Thăng Long
真教,Chân Giáo,Chân Giáo
乙丑,Ất Sửu,Ất Sửu
宋天聖,Tống Thiên Thánh,Tống Thiên Thánh
真臘,Chân Lạp,Chân Lạp
定藩,Định Phiên,Định Phiên
驩州,Hoan Châu,Hoan Châu
李台偕,Lí Thai Giai,Lí Thai Giai
秋,Thu,Thu
時,Thời,Thời
陶,Đào,Đào
陶,Đào,Đào
僧萬行,Tăng Vạn Hạnh,Tăng Vạn Hạnh
萬行,Vạn Hạnh,Vạn Hạnh
吳士連,Ngô Sĩ Liên,Ngô Sĩ Liên
僧萬行,Tăng Vạn Hạnh,Tăng Vạn Hạnh
李祖,Lí Tổ,Lí Tổ
丙寅,Bính Dần,Bính Dần
宋天聖,Tống Thiên Thánh,Tống Thiên Thánh
玉,Ngọc,Ngọc
李徵顯黎再嚴,Lí Trưng Hiển Lê Tái Nghiêm,Lí Trưng Hiển Lê Tái Nghiêm
宋,Tống,Tống
真臘,Chân Lạp,Chân Lạp
詔開天,Chiếu Khai Thiên,Chiếu Khai Thiên
演州,Diễn Châu,Diễn Châu
丁卯,Đinh Mão,Đinh Mão
宋天聖,Tống Thiên Thánh,Tống Thiên Thánh
三藏,Tam Tạng,Tam Tạng
詔開天王,Chiếu Khai Thiên Vương,Chiếu Khai Thiên Vương
七源,Thất Nguyên,Thất Nguyên
東征王,Đông Chinh Vương,Đông Chinh Vương
文州,Văn Châu,Văn Châu
戊辰,Mậu Thìn,Mậu Thìn
三,Tam,Tam
太宗天成宋天聖,Thái Tông Thiên Thành Tống Thiên Thánh,Thái Tông Thiên Thành Tống Thiên Thánh
三,Tam,Tam
丙申,Bính Thân,Bính Thân
戊戌帝,Mậu Tuất Đế,Mậu Tuất Đế
龍安,Long An,Long An
龍德,Long Đức,Long Đức
太,Thái,Thái
東征翊聖武德,Đông Chinh Dực Thánh Võ Đức,Đông Chinh Dực Thánh Võ Đức
東征王,Đông Chinh Vương,Đông Chinh Vương
龍城,Long Thành,Long Thành
翊聖武德,Dực Thánh Võ Đức,Dực Thánh Võ Đức
廣福,Quảng Phúc,Quảng Phúc
太,Thái,Thái
太,Thái,Thái
祥符,Tường Phù,Tường Phù
乾元,Càn Nguyên,Càn Nguyên
我,Ngã,Ngã
先,Tiên,Tiên
李仁義,Lí Nhân Nghĩa,Lí Nhân Nghĩa
兄,Huynh,Huynh
以,Dĩ,Dĩ
願,Nguyện,Nguyện
吾,Ngô,Ngô
仁義,Nhân Nghĩa,Nhân Nghĩa
臣,Thần,Thần
唐太宗周公旦,Đường Thái Tông Chu Công Đán,Đường Thái Tông Chu Công Đán
唐太周公,Đường Thái Chu Công,Đường Thái Chu Công
抑,Ức,Ức
殿,Điện,Điện
唐太周公,Đường Thái Chu Công,Đường Thái Chu Công
又,Hựu,Hựu
先,Tiên,Tiên
殿,Điện,Điện
仁義,Nhân Nghĩa,Nhân Nghĩa
楊平郭盛李玄師黎奉曉,Dương Bình Quách Thịnh Lí Huyền Sư Lê Phụng Hiểu,Dương Bình Quách Thịnh Lí Huyền Sư Lê Phụng Hiểu
吾,Ngô,Ngô
唐太周公,Đường Thái Chu Công,Đường Thái Chu Công
若,Nhược,Nhược
太,Thái,Thái
勢,Thế,Thế
吾,Ngô,Ngô
先,Tiên,Tiên
仁義,Nhân Nghĩa,Nhân Nghĩa
死,Tử,Tử
奉曉,Phụng Hiểu,Phụng Hiểu
廣福,Quảng Phúc,Quảng Phúc
武德,Võ Đức,Võ Đức
奉曉,Phụng Hiểu,Phụng Hiểu
武德王,Võ Đức Vương,Võ Đức Vương
奉曉,Phụng Hiểu,Phụng Hiểu
東征翊聖,Đông Chinh Dực Thánh,Đông Chinh Dực Thánh
奉曉,Phụng Hiểu,Phụng Hiểu
太祖,Thái Tổ,Thái Tổ
乾元,Càn Nguyên,Càn Nguyên
太,Thái,Thái
吾,Ngô,Ngô
唐,Đường,Đường
蔚遲敬德,Uất Trì Kính Đức,Uất Trì Kính Đức
奉曉,Phụng Hiểu,Phụng Hiểu
敬德,Kính Đức,Kính Đức
奉曉,Phụng Hiểu,Phụng Hiểu
殿,Điện,Điện
奉曉愛州冰山,Phụng Hiểu Ái Châu Băng Sơn,Phụng Hiểu Ái Châu Băng Sơn
古碑潭舍,Cổ Bi Đàm Xá,Cổ Bi Đàm Xá
奉曉,Phụng Hiểu,Phụng Hiểu
古碑,Cổ Bi,Cổ Bi
我,Ngã,Ngã
父,Phụ,Phụ
奉曉,Phụng Hiểu,Phụng Hiểu
潭舍,Đàm Xá,Đàm Xá
潭舍,Đàm Xá,Đàm Xá
古碑,Cổ Bi,Cổ Bi
太祖,Thái Tổ,Thái Tổ
武衛,Võ Vệ,Võ Vệ
都,Đô,Đô
天感聖武,Thiên Cảm Thánh Vũ,Thiên Cảm Thánh Vũ
太宗,Thái Tô,Thái Tô
奉曉,Phụng Hiểu,Phụng Hiểu
不,Bất,Bất
氷山,Băng Sơn,Băng Sơn
從,Tòng,Tòng
奉曉,Phụng Hiểu,Phụng Hiểu
多縻,Đa Mi,Đa Mi
故愛州,Cố Ái Châu,Cố Ái Châu
黎文休,Lê Văn Hưu,Lê Văn Hưu
李,Lí,Lí
王,Vương,Vương
李,Lí,Lí
微子,Vi Tử,Vi Tử
曰天,Viết Thiên,Viết Thiên
楊廣,Dương Quảng,Dương Quảng
徐文通,Từ Văn Thông,Từ Văn Thông
有,Hữu,Hữu
吳士連,Ngô Sĩ Liên,Ngô Sĩ Liên
同,Đồng,Đồng
太宗,Thái Tông,Thái Tông
觀,Quan,Quan
太宗,Thái Tông,Thái Tông
仁義,Nhân Nghĩa,Nhân Nghĩa
唐太周公,Đường Thái Chu Công,Đường Thái Chu Công
奉曉,Phụng Hiểu,Phụng Hiểu
春秋,Xuân Thu,Xuân Thu
太宗,Thái Tông,Thái Tông
夫,Phu,Phu
己亥太,Kỉ Hợi Thái,Kỉ Hợi Thái
佛瑪,Phật Mã,Phật Mã
黎,Lê,Lê
靈顯,Linh Hiển,Linh Hiển
天成,Thiên Thành,Thiên Thành
東征翊聖,Đông Chinh Dực Thánh,Đông Chinh Dực Thánh
開天綂運尊道貴德聖文廣武崇仁尚善政理民安臣符龍見体元御極億歲功髙應真寶曆松玄至奧興龍大定囱明慈孝皇帝,Khai Thiên Thống Vận Tôn Đạo Quý Đức Thánh Văn Quảng Vũ Sùng Nhân Thượng Thiện Chính Lí Dân An Thần Phù Long Kiến Thể Nguyên Ngự Cực Ức Tuế Công Cao Ứng Chân Bảo Lịch Thông Huyền Chí Áo Hưng Long Đại Định Thông Minh Từ Hiếu Hoàng Đế,Khai Thiên Thống Vận Tôn Đạo Quý Đức Thánh Văn Quảng Vũ Sùng Nhân Thượng Thiện Chính Lí Dân An Thần Phù Long Kiến Thể Nguyên Ngự Cực Ức Tuế Công Cao Ứng Chân Bảo Lịch Thông Huyền Chí Áo Hưng Long Đại Định Thông Minh Từ Hiếu Hoàng Đế
庚申,Canh Thân,Canh Thân
開國王,Khai Quốc Vương,Khai Quốc Vương
初王,Sơ Vương,Sơ Vương
長安,Trường Yên,Trường Yên
太祖,Thái Tổ,Thái Tổ
太祖,Thái Tổ,Thái Tổ
武德王,Võ Đức Vương,Võ Đức Vương
封銅皷,Phong Đồng Cổ,Phong Đồng Cổ
王,Vương,Vương
帝,Đế,Đế
銅皷,Đồng Cổ,Đồng Cổ
帝,Đế,Đế
武德東征翊聖,Vũ Đức Đông Chinh Dực Thánh,Vũ Đức Đông Chinh Dực Thánh
有,Hữu,Hữu
大羅,Đại La,Đại La
聖壽,Thánh Thọ,Thánh Thọ
為,Vi,Vi
帝,Đế,Đế
長安,Trường Yên,Trường Yên
李仁義,Lí Nhân Nghĩa,Lí Nhân Nghĩa
京,Kinh,Kinh
壬申,Nhâm Thân,Nhâm Thân
長安,Trường Yên,Trường Yên
開國王,Khai Quốc Vương,Khai Quốc Vương
敢,Cảm,Cảm
長安,Trường Yên,Trường Yên
開國,Khai Quốc,Khai Quốc
昇龍,Thăng Long,Thăng Long
長安,Trường Yên,Trường Yên
開國,Khai Quốc,Khai Quốc
萬歲,Vạn Tuế,Vạn Tuế
太,Thái,Thái
東,Đông,Đông
皇,Hoàng,Hoàng
日尊,Nhật Tôn,Nhật Tôn
東,Đông,Đông
太,Thái,Thái
枚皇,Mai Hoàng,Mai Hoàng
祐,Hựu,Hựu
安國,An Quốc,An Quốc
王,Vương,Vương
杜,Đỗ,Đỗ
輔,Phụ,Phụ
丁皇,Đinh Hoàng,Đinh Hoàng
吳尚,Ngô Thượng,Ngô Thượng
匡,Khuông,Khuông
吳士連,Ngô Sĩ Liên,Ngô Sĩ Liên
后,Hậu,Hậu
不,Bất,Bất
后,Hậu,Hậu
厚,Hậu,Hậu
此,Thử,Thử
曰爵,Viết Tước,Viết Tước
安,An,An
輔,Phụ,Phụ
匡,Khuông,Khuông
以梁任文,Dĩ Lương Nhậm Văn,Dĩ Lương Nhậm Văn
太,Thái,Thái
吳上丁,Ngô Thượng Đinh,Ngô Thượng Đinh
太,Thái,Thái
陶處中,Đào Xử Trung,Đào Xử Trung
太,Thái,Thái
李道紀,Lí Đạo Kỷ,Lí Đạo Kỷ
左,Tả,Tả
李徹,Lí Triệt,Lí Triệt
少,Thiếu,Thiếu
冲新,Xung Tân,Xung Tân
右,Hữu,Hữu
李密,Lí Mật,Lí Mật
左,Tả,Tả
矯蓬,Kiểu Bồng,Kiểu Bồng
右,Hữu,Hữu
廖嘉貞,Liêu Gia Trinh,Liêu Gia Trinh
中,Trung,Trung
何遠,Hà Viễn,Hà Viễn
左,Tả,Tả
杜讖,Đỗ Sấm,Đỗ Sấm
右,Hữu,Hữu
阮光利,Nguyễn Quang Lợi,Nguyễn Quang Lợi
太,Thái,Thái
譚碎狀,Đàm Toái Trạng,Đàm Toái Trạng
都,Đô,Đô
武波斯,Vũ Ba Tu,Vũ Ba Tu
威,Uy,Uy
阮慶,Nguyễn Khánh,Nguyễn Khánh
定,Định,Định
陶文雷,Đào Văn Lôi,Đào Văn Lôi
左,Tả,Tả
李仁義,Lí Nhân Nghĩa,Lí Nhân Nghĩa
右,Hữu,Hữu
潘唐烈,Phan Đường Liệt,Phan Đường Liệt
内,Nội,Nội
置殿,Trí Điện,Trí Điện
一,Nhất,Nhất
廣聖,Quảng Thánh,Quảng Thánh
廣武,Quảng Vũ,Quảng Vũ
衛龍,Vệ Long,Vệ Long
捧日,Bổng Nhật,Bổng Nhật
澄海,Trừng Hải,Trừng Hải
天聖,Thiên Thánh,Thiên Thánh
萬歲南山,Vạn Tuế Nam Sơn,Vạn Tuế Nam Sơn
龍,Long,Long
長壽,Trường Thọ,Trường Thọ
白鶴,Bạch Hạc,Bạch Hạc
吳士連,Ngô Sĩ Liên,Ngô Sĩ Liên
誕,Đản,Đản
顧帝,Cố Đế,Cố Đế
惸,Quỳnh,Quỳnh
天德,Thiên Đức,Thiên Đức
壽陵,Thọ Lăng,Thọ Lăng
神武皇帝,Thần Vũ Hoàng Đế,Thần Vũ Hoàng Đế
太祖,Thái Tổ,Thái Tổ
黎文休,Lê Văn Hưu,Lê Văn Hưu
夫,Phù,Phù
茂陵,Mậu Lăng,Mậu Lăng
昌陵,Xương Lăng,Xương Lăng
顯謨,Hiển Mô,Hiển Mô
寶文,Bảo Văn,Bảo Văn
今李,Kim Lí,Kim Lí
壽陵,Thọ Lăng,Thọ Lăng
龍圖,Long Đồ,Long Đồ
吳士連,Ngô Sĩ Liên,Ngô Sĩ Liên
李祖,Lí Tổ,Lí Tổ
卧朝,Ngoạ Triều,Ngoạ Triều
觀,Quan,Quan
南北,Nam Bắc,Nam Bắc
佛老,Phật Lão,Phật Lão
太宗皇帝,Thái Tông Hoàng Đế,Thái Tông Hoàng Đế
諱佛瑪,Huý Phật Mã,Huý Phật Mã
德政太祖,Đức Chính Thái Tổ,Đức Chính Thái Tổ
其,Kì,Kì
皇,Hoàng,Hoàng
黎,Lê,Lê
黎應天,Lê Ứng Thiên,Lê Ứng Thiên
庚子,Canh Tí,Canh Tí
長安,Trường Yên,Trường Yên
太祖,Thái Tổ,Thái Tổ
東,Đông,Đông
太,Thái,Thái
及太祖,Cập Thái Tổ,Cập Thái Tổ
奉曉,Phụng Hiểu,Phụng Hiểu
皇,Hoàng,Hoàng
長春,Trường Xuân,Trường Xuân
帝,Đế,Đế
漢光,Hán Quang,Hán Quang
唐太,Đường Thái,Đường Thái
初帝,Sơ Đế,Sơ Đế
長安,Trường Yên,Trường Yên
此,Thử,Thử
民,Dân,Dân
太祖,Thái Tổ,Thái Tổ
將,Tướng,Tướng
帝,Đế,Đế
導,Đạo,Đạo
而,Nhi,Nhi
丁,Đinh,Đinh
黎,Lê,Lê
由,Do,Do
太祖,Thái Tổ,Thái Tổ
東,Đông,Đông
順天,Thuận Thiên,Thuận Thiên
開天,Khai Thiên,Khai Thiên
占城,Chiêm Thành,Chiêm Thành
布政,Bố Chính,Bố Chính
龍鼻,Long Tị,Long Tị
帝,Đế,Đế
帝,Đế,Đế
丙申,Bính Thân,Bính Thân
帝,Đế,Đế
南帝,Nam Đế,Nam Đế
陳慧隆,Trần Tuệ Long,Trần Tuệ Long
慧隆,Tuệ Long,Tuệ Long
己巳天成,Kỉ Tị Thiên Thành,Kỉ Tị Thiên Thành
宋天聖,Tống Thiên Thánh,Tống Thiên Thánh
壬午,Nhâm Ngọ,Nhâm Ngọ
太祖,Thái Tổ,Thái Tổ
平陽,Bình Dương,Bình Dương
諒,Lạng,Lạng
申紹泰,Thân Thiệu Thái,Thân Thiệu Thái
愛,Áị,Áị
州但乃甲,Châu Đản Nãi Giáp,Châu Đản Nãi Giáp
帝,Đế,Đế
但乃甲,Đản Nãi Giáp,Đản Nãi Giáp
東,Đông,Đông
太,Thái,Thái
但乃甲,Đản Nãi Giáp,Đản Nãi Giáp
中,Trung,Trung
但乃,Đản Nãi,Đản Nãi
但乃,Đản Nãi,Đản Nãi
但乃,Đản Nãi,Đản Nãi
勝嚴,Thắng Nghiêm,Thắng Nghiêm
乾元,Càn Nguyên,Càn Nguyên
朕,Trẫm,Trẫm
令有,Lệnh Hữu,Lệnh Hữu
天安,Thiên An,Thiên An
宣德,Tuyên Đức,Tuyên Đức
延福,Diên Phúc,Diên Phúc
殿,Điện,Điện
龍墀,Long Trì,Long Trì
文明,Văn Minh,Văn Minh
廣武,Quảng Vũ,Quảng Vũ
奉天,Phụng Thiên,Phụng Thiên
正陽,Chính Dương,Chính Dương
長春,Trường Xuân,Trường Xuân
龍圖,Long Đồ,Long Đồ
龍城,Long Thành,Long Thành
驩州,Hoan Châu,Hoan Châu
萬歲,Vạn Tuế,Vạn Tuế
宋,Tống,Tống
章頴,Chương Dĩnh,Chương Dĩnh
帝,Đế,Đế
郡王,Quận Vương,Quận Vương
庚午,Canh Ngọ,Canh Ngọ
宋天聖,Tống Thiên Thánh,Tống Thiên Thánh
天慶,Thiên Khánh,Thiên Khánh
長春,Trường Xuân,Trường Xuân
大,Đại,Đại
黎偓佺員,Lê Ốc Thuyên Viên,Lê Ốc Thuyên Viên
阮曰親,Nguyễn Viết Thân,Nguyễn Viết Thân
宋,Tống,Tống
帝,Đế,Đế
鳥路,Điểu Lộ,Điểu Lộ
永興,Vĩnh Hưng,Vĩnh Hưng
辛未,Tân Mùi,Tân Mùi
宋天聖,Tống Thiên Thánh,Tống Thiên Thánh
驩州,Hoan Châu,Hoan Châu
帝,Đế,Đế
驩州,Hoan Châu,Hoan Châu
東,Đông,Đông
太,Thái,Thái
驩州,Hoan Châu,Hoan Châu
中,Trung,Trung
帝,Đế,Đế
驩州,Hoan Châu,Hoan Châu
鄭智空,Trịnh Trí Không,Trịnh Trí Không
太清,Thái Thanh,Thái Thanh
壬申,Nhâm Thân,Nhâm Thân
宋明道,Tống Minh Đạo,Tống Minh Đạo
雷公,Lôi Công,Lôi Công
釋迦,Thích Ca,Thích Ca
帝,Đế,Đế
杜洞,Đỗ Động,Đỗ Động
信鄕,Tín Hương,Tín Hương
應天,Ứng Thiên,Ứng Thiên
帝,Đế,Đế
諒,Lạng,Lạng
諒,Lạng,Lạng
天安,Thiên An,Thiên An
癸酉,Quý Dậu,Quý Dậu
宋明道,Tống Minh Đạo,Tống Minh Đạo
真臘,Chân Lạp,Chân Lạp
定源,Định Nguyên,Định Nguyên
帝,Đế,Đế
東,Đông,Đông
太,Thái,Thái
京,Kinh,Kinh
真登,Chân Đăng,Chân Đăng
陶,Đào,Đào
定源,Định Nguyên,Định Nguyên
永安,Vĩnh An,Vĩnh An
師用和,Sư Dụng Hoà,Sư Dụng Hoà
東,Đông,Đông
太,Thái,Thái
開皇王,Khai Hoàng Vương,Khai Hoàng Vương
龍德,Long Đức,Long Đức
帝,Đế,Đế
長廣,Trường Quảng,Trường Quảng
落,Lạc,Lạc
詔,Chiếu,Chiếu
龍墀,Long Trì,Long Trì
彘源,Trệ Nguyên,Trệ Nguyên
帝,Đế,Đế
彘源,Trệ Nguyên,Trệ Nguyên
開皇,Khai Hoàng,Khai Hoàng
彘源,Trệ Nguyên,Trệ Nguyên
帝,Đế,Đế
甲戌,Giáp Tuất,Giáp Tuất
四,Tứ,Tứ
通瑞,Thông Thuỵ,Thông Thuỵ
宋景祐,Tống Cảnh Hựu,Tống Cảnh Hựu
帝,Đế,Đế
朝,Triều,Triều
黎文,Lê Văn,Lê Văn
天,Thiên,Thiên
朕,Trẫm,Trẫm
予,Dư,Dư
陛,Bệ,Bệ
天,Thiên,Thiên
朝,Triều,Triều
朝,Triều,Triều
太宗,Thái Tông,Thái Tông
朝,Triều,Triều
聖宗,Thánh Tông,Thánh Tông
萬,Vạn,Vạn
髙宗,Cao Tông,Cao Tông
佛,Phật,Phật
孔子,Khổng Tử,Khổng Tử
名,Danh,Danh
通瑞,Thông Thuỵ,Thông Thuỵ
嚴寶性范明心,Nghiêm Bảo Tính Phạm Minh Tâm,Nghiêm Bảo Tính Phạm Minh Tâm
長聖,Trường Thánh,Trường Thánh
通瑞,Thông Thuỵ,Thông Thuỵ
吳士連,Ngô Sĩ Liên,Ngô Sĩ Liên
佛,Phật,Phật
佛,Phật,Phật
智通,Trí Thông,Trí Thông
驩州,Hoan Châu,Hoan Châu
員,Viên,Viên
陳應機王文慶,Trần Ứng Cơ Vương Văn Khánh,Trần Ứng Cơ Vương Văn Khánh
宋,Tống,Tống
帝,Đế,Đế
僊逰,Tiên Du,Tiên Du
重光,Trùng Quang,Trùng Quang
重興,Trùng Hưng,Trùng Hưng
遣員,Khiển Viên,Khiển Viên
何授杜寬,Hà Thụ Đỗ Khoan,Hà Thụ Đỗ Khoan
宋,Tống,Tống
大藏,Đại Tạng,Đại Tạng
萬安,Vạn An,Vạn An
古法,Cổ Pháp,Cổ Pháp
法雲,Pháp Vân,Pháp Vân
乙亥通瑞,Ất Hợi Thông Thuỵ,Ất Hợi Thông Thuỵ
宋景祐,Tống Cảnh Hựu,Tống Cảnh Hựu
天慶,Thiên Khánh,Thiên Khánh
天感皇,Thiên Cảm Hoàng,Thiên Cảm Hoàng
日中,Nhật Trung,Nhật Trung
奉乾王,Phụng Càn Vương,Phụng Càn Vương
西街,Tây Nhai,Tây Nhai
太和,Thái Hoà,Thái Hoà
蘇歴,Tô Lịch,Tô Lịch
帝,Đế,Đế
愛州,Ái Châu,Ái Châu
帝,Đế,Đế
奉乾王,Phụng Càn Vương,Phụng Càn Vương
京,Kinh,Kinh
愛州,Ái Châu,Ái Châu
定勝,Định Thắng,Định Thắng
阮,Nguyễn,Nguyễn
慶,Khánh,Khánh
陛,Bệ,Bệ
願,Nguyện,Nguyện
慶,Khánh,Khánh
克愛,Khắc Ái,Khắc Ái
愛,Ái,Ái
奉乾王日中,Phụng Càn Vương Nhật Trung,Phụng Càn Vương Nhật Trung
胡,Hồ,Hồ
定勝,Định Thắng,Định Thắng
阮慶,Nguyễn Khánh,Nguyễn Khánh
都,Đô,Đô
譚碎状皇,Đàm Toái Trạng Hoàng,Đàm Toái Trạng Hoàng
勝乾太福,Thắng Càn Thái Phúc,Thắng Càn Thái Phúc
妾,Thiếp,Thiếp
聖,Thánh,Thánh
慶,Khánh,Khánh
帝,Đế,Đế
愛,Ái,Ái
愛,Ái,Ái
天慶,Thiên Khánh,Thiên Khánh
阮慶,Nguyễn Khánh,Nguyễn Khánh
西,Tây,Tây
重光,Trùng Quang,Trùng Quang
吳士連,Ngô Sĩ Liên,Ngô Sĩ Liên
凡,Phàm,Phàm
佛,Phật,Phật
丙子,Bính Tí,Bính Tí
宋景佑,Tống Cảnh Hựu,Tống Cảnh Hựu
大願,Đại Nguyện,Đại Nguyện
龍墀,Long Trì,Long Trì
大藏,Đại Tạng,Đại Tạng
重興,Trùng Hưng,Trùng Hưng
金城,Kim Thành,Kim Thành
峯州,Phong Châu,Phong Châu
黎宗順,Lê Tông Thuận,Lê Tông Thuận
驩州,Hoan Châu,Hoan Châu
乂安,Nghệ An,Nghệ An
長寕,Trường Ninh,Trường Ninh
上威,Thượng Oai,Thượng Oai
何善覽,Hà Thiện Lãm,Hà Thiện Lãm
臨西,Lâm Tây,Lâm Tây
都金常新平原,Đô Kim Thường Tân Bình Nguyên,Đô Kim Thường Tân Bình Nguyên
宋思陵,Tống Tư Lăng,Tống Tư Lăng
丁丑,Đinh Sửu,Đinh Sửu
宋景祐,Tống Cảnh Hựu,Tống Cảnh Hựu
帝,Đế,Đế
臨西,Lâm Tây,Lâm Tây
開,Khai,Khai
皇王,Hoàng Vương,Hoàng Vương
大,Đại,Đại
都金常新平原,Đô Kim Thường Tân Bình Nguyên,Đô Kim Thường Tân Bình Nguyên
奉乾王,Phụng Càn Vương,Phụng Càn Vương
京,Kinh,Kinh
臨西,Lâm Tây,Lâm Tây
帝,Đế,Đế
臨西道,Lâm Tây Đạo,Lâm Tây Đạo
詔乂安,Chiếu Nghệ An,Chiếu Nghệ An
資城利人永豊,Tư Thành Lợi Nhân Vĩnh Phong,Tư Thành Lợi Nhân Vĩnh Phong
帝,Đế,Đế
含光,Hàm Quang,Hàm Quang
鳥路,Điểu Lộ,Điểu Lộ
佛,Phật,Phật
永春,Vĩnh Xuân,Vĩnh Xuân
日光,Nhật Quang,Nhật Quang
立弘聖大王,Lập Hoằng Thánh Đại Vương,Lập Hoằng Thánh Đại Vương
帝,Đế,Đế
都,Đô,Đô
天,Thiên,Thiên
范巨俩,Phạm Cự Lạng,Phạm Cự Lạng
都,Đô,Đô
天,Thiên,Thiên
是,Thị,Thị
典,Điển,Điển
乃黎大行,Nãi Lê Đại Hành,Nãi Lê Đại Hành
太,Thái,Thái
有,Hữu,Hữu
弘聖,Hoằng Thánh,Hoằng Thánh
洪聖,Hồng Thánh,Hồng Thánh
戊寅,Mậu Dần,Mậu Dần
宋寳元,Tống Bảo Nguyên,Tống Bảo Nguyên
帝,Đế,Đế
布海,Bố Hải,Bố Hải
命有,Mệnh Hữu,Mệnh Hữu
神農,Thần Nông,Thần Nông
此,Thử,Thử
陛,Bệ,Bệ
朕,Trẫm,Trẫm
吳士連,Ngô Sĩ Liên,Ngô Sĩ Liên
太宗,Thái Tông,Thái Tông
秋,Thu,Thu
帝,Đế,Đế
含光,Hàm Quang,Hàm Quang
大勝,Đại Thắng,Đại Thắng
重光,Trùng Quang,Trùng Quang
廣原,Quảng Nguyên,Quảng Nguyên
儂存福,Nùng Tồn Phúc,Nùng Tồn Phúc
帝,Đế,Đế
南平王,Nam Bình Vương,Nam Bình Vương
東征王力,Đông Chinh Vương Lực,Đông Chinh Vương Lực
己卯,Kỉ Mão,Kỉ Mão
六,Lục,Lục
乾符有道宋寳元,Càn Phù Hữu Đạo Tống Bảo Nguyên,Càn Phù Hữu Đạo Tống Bảo Nguyên
西農,Tây Nông,Tây Nông
何文貞,Hà Văn Trinh,Hà Văn Trinh
存福,Tồn Phúc,Tồn Phúc
初存福,Sơ Tồn Phúc,Sơ Tồn Phúc
儻猶,Thảng Do,Thảng Do
存禄,Tồn Lộc,Tồn Lộc
萬涯,Vạn Nhai,Vạn Nhai
存福,Tồn Phúc,Tồn Phúc
阿儂,A Nùng,A Nùng
當道,Đương Đạo,Đương Đạo
武勒,Vũ Lặc,Vũ Lặc
廣原,Quảng Nguyên,Quảng Nguyên
後存福,Hậu Tồn Phúc,Hậu Tồn Phúc
存禄,Tồn Lộc,Tồn Lộc
當道,Đương Đạo,Đương Đạo
昭聖皇,Chiêu Thánh Hoàng,Chiêu Thánh Hoàng
阿儂,A Nùng,A Nùng
明德,Minh Đức,Minh Đức
智聰,Trí Thông,Trí Thông
南衙王,Nam Nha Vương,Nam Nha Vương
長生,Trường Sinh,Trường Sinh
帝,Đế,Đế
存福,Tồn Phúc,Tồn Phúc
開皇王,Khai Hoàng Vương,Khai Hoàng Vương
冷涇,Lãnh Kinh,Lãnh Kinh
次廣原,Thứ Quảng Nguyên,Thứ Quảng Nguyên
存福,Tồn Phúc,Tồn Phúc
存福,Tồn Phúc,Tồn Phúc
智聰,Trí Thông,Trí Thông
阿儂,A Nùng,A Nùng
智髙,Trí Cao,Trí Cao
檻存福,Giam Tồn Phúc,Giam Tồn Phúc
帝,Đế,Đế
廣原,Quảng Nguyên,Quảng Nguyên
朕,Trẫm,Trẫm
儂,Nùng,Nùng
今存福,Kim Tồn Phúc,Kim Tồn Phúc
存福,Tồn Phúc,Tồn Phúc
占城,Chiêm Thành,Chiêm Thành
地婆剌樂舜乍兠羅繼阿撻㻋,Địa Bà Lạt Lạc Thuấn Sạ Đâu La Kế A Thát Lạt,Địa Bà Lạt Lạc Thuấn Sạ Đâu La Kế A Thát Lạt
廣原,Quảng Nguyên,Quảng Nguyên
武建,Vũ Kiến,Vũ Kiến
弄石,Lộng Thạch,Lộng Thạch
定邉,Định Biên,Định Biên
乾符有道,Càn Phù Hữu Đạo,Càn Phù Hữu Đạo
金,Kim,Kim
湧銀生儂平藩伏,Dũng Ngân Sinh Nùng Bình Phiên Phục,Dũng Ngân Sinh Nùng Bình Phiên Phục
唐󰔄,Đường Ngu,Đường Ngu
夷,Di,Di
蠻,Man,Man
朕,Trẫm,Trẫm
堯舜,Nghiêu Thuấn,Nghiêu Thuấn
儂,Nùng,Nùng
占城,Chiêm Thành,Chiêm Thành
抑,Ức,Ức
朕,Trẫm,Trẫm
黎文休,Lê Văn Hưu,Lê Văn Hưu
帝堯帝舜文王武王,Đế Nghiêu Đế Thuấn Văn Vương Võ Vương,Đế Nghiêu Đế Thuấn Văn Vương Võ Vương
太宗,Thái Tông,Thái Tông
金湧銀生儂平藩伏,Kim Dũng Ngân Sinh Nùng Bình Phiên Phục,Kim Dũng Ngân Sinh Nùng Bình Phiên Phục
太宗,Thái Tông,Thái Tông
大,Đại,Đại
師用和親,Sư Dụng Hoà Thân,Sư Dụng Hoà Thân
杜興,Đỗ Hưng,Đỗ Hưng
宋,Tống,Tống
