cn,sv,entity_position,entities,entity_type
上皇御重光宫皇子暊空武切侍,Thượng hoàng ngự Trùng Quang cung Hoàng tử phủ không vũ thiết thị,"(3: 5), (6: 7)","Trùng Quang, Hoàng",
遇大風雨應制賦詩云安得壯士力盖世可禦大屋之頽風上皇賞金十兩,Ngộ đại phong vũ ứng chế phú thi vân An đắc tráng sĩ lực cái thế Khả ngự đại ốc chi đồi phong Thượng hoàng thưởng kim thập lượng,"(9: 10), (16: 17), (23: 24)","An, Khả, Thượng",
壬申四年元至順三年春二月十五日祔塟順聖保慈皇太后于泰陵,Nhâm Thân tứ niên Nguyên chí Thuận tam niên xuân nhị nguyệt thập ngũ nhật phụ táng Thuận Thánh Bảo Từ Hoàng thái hậu vu Thái Lăng,"(0: 2), (4: 5), (6: 7), (17: 22), (25: 27)","Nhâm Thân, Nguyên, Thuận, Thuận Thánh Bảo Từ Hoàng, Thái Lăng",
先是上皇命日官擇塟日有駁之曰以今年塟必害祭主,Tiên thị Thượng hoàng mệnh nhật quan trạch táng nhật hữu bác chi viết Dĩ kim niên táng tất hại tế chủ,"(2: 3), (14: 15)","Thượng, Dĩ",
上皇使問曰汝知予明年必死耶對曰不知也,Thượng hoàng sử vấn viết Nhữ tri dư minh niên tất tử da Đối viết Bất tri dã,"(5: 6), (13: 14), (15: 16)","Nhữ, Đối, Bất",
又問曰如明年以徃予必不死則緩塟母后可也,Hựu vấn viết Như minh niên dĩ vãng dư tất bất tử tắc hoãn táng mẫu hậu khả dã,(3: 4),Như,
如明年予死而母后襄成事曰襄事不猶愈於徒死乎夫吉禮凶禮必須擇日重其事也𡸈陰陽家拘泥禍福之謂哉卒行塟禮〇,Như minh niên dư tử nhi mẫu hậu nhượng thành sự viết nhượng sự bất do dũ ư đồ tử hồ Phu cát lễ hung lễ tất tu trạch nhật trọng kì sự dã há âm dương gia câu nệ hoạ phúc chi vị tai Tốt hành táng lễ ,"(21: 22), (45: 46)","Phu, Tốt",
三月以阮忠彦為内𡧸院副使掌官朝内省籍〇,Tam nguyệt dĩ Nguyễn Trung Ngạn vi Nội mật viện phó sứ chưởng quan triều nội tỉnh tịch ,"(3: 6), (7: 8)","Nguyễn Trung Ngạn, Nội",
秋七月以阮忠彦知審刑院事兼清化安撫使,Thu thất nguyệt dĩ Nguyễn Trung Ngạn tri Thẩm hình viện sự kiêm Thanh Hoá An phủ sứ,"(4: 7), (8: 9), (13: 16)","Nguyễn Trung Ngạn, Thẩm, Thanh Hoá An",
忠彦,Trung Ngạn,(0: 2),Trung Ngạn,
立平𠃔堂决獄訟無寃濫,lập Bình doãn đường quyết ngục tụng vô oan lạm,(1: 2),Bình,
癸酉五年元順帝妥懽帖睦兒元統元年秋七月大水〇,Quý Dậu ngũ niên Nguyên Thuận Đế Thoả Hoan Thiếp Mục Nhi Nguyên Thống nguyên niên thu thất nguyệt đại thuỷ ,"(0: 2), (4: 14)","Quý Dậu, Nguyên Thuận Đế Thoả Hoan Thiếp Mục Nhi Nguyên Thống",
甲戌六年元元統二年春中書增置左右正言參議〇,Giáp Tuất lục niên Nguyên Nguyên Thống nhị niên xuân Trung thư tăng trí tả hữu chính ngôn tham nghị ,"(0: 2), (4: 7), (10: 11)","Giáp Tuất, Nguyên Nguyên Thống, Trung",
上皇廵守乂安道親征哀牢以阮中彦充清化𤼵運使運糧先行車駕至黔州軍聲大振哀牢望風而遁詔忠彦磨崖紀功而還乙亥七年元至元元年元遣史部尚書鉄柱來吿順帝即位〇,Thượng hoàng tuần thú Nghệ An đạo thân chinh Ai Lao Dĩ Nguyễn Trung Ngạn sung Thanh Hoá phát vận sứ vận lương tiên hành Xa giá chí Kiềm Châu quân thanh đại chấn Ai Lao vọng phong nhi độn Chiếu Trung Ngạn ma nhai kỷ công nhi hoàn Ất Hợi thất niên Nguyên Chí Nguyên nguyên niên Nguyên khiến sử bộ thượng thư Thiết Trụ lai cáo Thuận Đế tức vị ,"(4: 6), (9: 15), (16: 18), (25: 26), (28: 30), (34: 36), (40: 43), (49: 51), (53: 56), (58: 59), (64: 66), (68: 70)","Nghệ An, Ai Lao Dĩ Nguyễn Trung Ngạn, Thanh Hoá, Xa, Kiềm Châu, Ai Lao, Chiếu Trung Ngạn, Ất Hợi, Nguyên Chí Nguyên, Nguyên, Thiết Trụ, Thuận Đế",
秋九月上皇親征哀牢敗績,Thu cửu nguyệt Thượng hoàng thân chinh Ai Lao bại tích,"(3: 4), (7: 9)","Thượng, Ai Lao",
段汝諧溺死,Đoàn Nhữ Hài nịch tử,(0: 3),Đoàn Nhữ Hài,
先是上皇議親征哀牢不果,Tiên thị Thượng hoàng nghị thân chinh Ai Lao bất quả,"(2: 3), (7: 9)","Thượng, Ai Lao",
或請緩師上皇曰去年親征不果,Hoặc thỉnh hoãn sư Thượng hoàng viết Khứ niên thân chinh bất quả,"(4: 5), (7: 8)","Thượng, Khứ",
天下将謂予怯萬一北虜侵軼則吾将何特遂厥意親征,Thiên hạ tướng vị dư khiếp vạn nhất Bắc lỗ xâm dật tắc ngô tướng hà đặc Toại quyết ý thân chinh,"(8: 9), (17: 18)","Bắc, Toại",
疾尋愈至乂安疾又作,Tật tầm dũ chí Nghệ An tật hựu tác,(4: 6),Nghệ An,
愈時汝諧𬋩神武神策兼乂安經畧大使而哀牢侵南戎乃乂安之属邑故以汝諧為督将諸軍皆受節制,dũ Thời Nhữ Hài quản Thần Võ Thần Sách kiêm Nghệ An kinh lược đại sứ nhi Ai Lao xâm Nam Nhung nãi Nghệ An chi thuộc ấp cố dĩ Nhữ Hài vi đốc tướng chư quân giai thụ tiết chế,"(1: 4), (5: 9), (10: 12), (17: 19), (20: 22), (23: 25), (30: 32)","Thời Nhữ Hài, Thần Võ Thần Sách, Nghệ An, Ai Lao, Nam Nhung, Nghệ An, Nhữ Hài",
汝諧止率神武及乂安軍以行意哀牢㨿南戎其眾單弱擊之必克,Nhữ Hài chỉ suất Thần Võ cập Nghệ An quân dĩ hành ý Ai Lao cứ Nam Nhung kì chúng đơn nhược kích chi tất khắc,"(0: 2), (4: 6), (7: 9), (13: 15), (16: 18)","Nhữ Hài, Thần Võ, Nghệ An, Ai Lao, Nam Nhung",
且砦臨屑邏大江既克之後俘獲沿流而下過真臘及諸蕃國皆震耀兵威因諭諸國子弟入朝志欲邀,Thả trại lâm Tiết La đại giang ký khắc chi hậu phù hoạch duyên lưu nhi hạ quá Chân Lạp cập chư Phiên quốc giai chấn diệu binh uy nhân dụ chư quốc tử đệ nhập triều chí dục yêu,"(3: 5), (18: 20), (22: 23)","Tiết La, Chân Lạp, Phiên",
官軍大敗墮水死者過半汝諧在焉,Quan quân đại bại đoạ thuỷ tử giả quá bán Nhữ Hài tại yên,(10: 12),Nhữ Hài,
上皇聞之曰汝諧用必克之謀乘必勝之勢攻垂成卒為賊所餌,Thượng hoàng văn chi viết Nhữ Hài dụng tất khắc chi mưu thừa tất thắng chi thế công thuỳ thành tốt vi tặc sở nhĩ,(5: 7),Nhữ Hài,
汝諧非不知料敵但所為過大而𦤶然耳,Nhữ Hài phi bất tri liệu địch đản sở vi quá đại nhi trí nhiên nhĩ,(0: 2),Nhữ Hài,
史臣吳士連曰城濮之戰子玉有必勝之謀而終敗績為文公之所餌也,Sử thần Ngô Sĩ Liên viết Thành Bộc chi chiến Tử Ngọc hữu tất thắng chi mưu nhi chung bại tích vi Văn Công chi sở nhĩ dã,"(2: 5), (6: 8), (10: 12), (22: 24)","Ngô Sĩ Liên, Thành Bộc, Tử Ngọc, Văn Công",
南戎之戰汝諧有必勝之謀亦以敗績為哀牢之所餌也,Nam Nhung chi chiến Nhữ Hài hữu tất thắng chi mưu diệc dĩ bại tích vi Ai Lao chi sở nhĩ dã,"(0: 2), (4: 6), (16: 18)","Nam Nhung, Nhữ Hài, Ai Lao",
彼二将者𡸈無才畧以至是哉乃驕而取敗也,Bỉ nhị tướng giả há vô tài lược dĩ chí thị tai Nãi kiêu nhi thủ bại dã,(12: 13),Nãi,
孔子曰臨,Khổng Tử viết Lâm,"(0: 2), (3: 4)","Khổng Tử, Lâm",
行師之要莫大乎是𡸈有将之驕吝而能成功哉,Hành sư chi yếu mạc đại hồ Thị há hữu tướng chi kiêu lận nhi năng thành công tai,(7: 8),Thị,
杜天覰時𬋩快户軍即神策軍也方病篤命留後,Đỗ Thiên Thứ thời quản Khoái Hộ quân tức Thần Sách quân dã phương bệnh đốc mệnh lưu hậu,"(0: 3), (5: 7), (9: 11)","Đỗ Thiên Thứ, Khoái Hộ, Thần Sách",
天覰即令家人昇詣永安門外固請扈駕,Thiên Thứ tức lệnh gia nhân thăng nghệ Vĩnh An môn ngoại cố thỉnh hộ giá,"(0: 2), (8: 10)","Thiên Thứ, Vĩnh An",
曰臣寕死於營門之外不死於床蓐之,Viết Thần ninh tử ư doanh môn chi ngoại bất tử ư sàng nhục chi,(0: 2),Viết Thần,
間上皇嘉其志從之入賊境而卒,gian Thượng hoàng gia kì chí tòng chi nhập tặc cảnh nhi tốt,(1: 2),Thượng,
上皇嗟悼勑賜太常樂常祀,Thượng hoàng ta điệu sắc tứ Thái thường lạc thường tự,(6: 7),Thái,
後阮愈卒亦如之,Hậu Nguyễn Dũ tốt diệc như chi,(0: 3),Hậu Nguyễn Dũ,
時常祀用太常樂惟行遣得之審刑止用齋内祭天覰賜太常祀盖時恩寵遇不下於行遣也史臣吳士連曰小人之用心也見利則進害則,Thời thường tự dụng Thái thường nhạc duy hành khiển đắc chi Thẩm hình chỉ dụng trai nội tế Thiên Thứ tứ Thái thường tự cái thời ân sủng ngộ bất hạ ư Hành khiển dã Sử thần Ngô Sĩ Liên viết Tiểu nhân chi dụng tâm dã kiến lợi tắc tiến hại tắc,"(4: 5), (12: 13), (19: 21), (22: 23), (33: 34), (36: 37), (38: 41), (42: 43)","Thái, Thẩm, Thiên Thứ, Thái, Hành, Sử, Ngô Sĩ Liên, Tiểu",
天覰方病篤明宗命留後常人之情不過奉命而己乃故請扈從不願死於床蓐之間則其用心惟急於君上𡸈不為辭難托故者羞哉〇,Thiên Thứ phương bệnh đốc Minh Tông mệnh lưu hậu thường nhân chi tình bất quá phụng mệnh nhi kỷ nãi cố thỉnh hộ tòng bất nguyện tử ư sàng nhục chi gian tắc kì dụng tâm duy cấp ư quân thượng há bất vi từ nan thác cố giả tu tai ,"(0: 2), (5: 7)","Thiên Thứ, Minh Tông",
時有上将范蒼檜性柔和未嘗與人爭,Thời hữu Thượng tướng Phạm Thương Cối tính nhu hoà vị thường dữ nhân tranh,"(2: 3), (4: 7)","Thượng, Phạm Thương Cối",
陳吾郎每輕之蒼檜不為動至於攻戰則屢有功亦不以其功加人,Trần Ngô Lang mỗi khinh chi Thương Cối bất vi động Chí ư công chiến tắc lũ hữu công diệc bất dĩ kì công gia nhân,"(0: 3), (6: 8), (11: 12)","Trần Ngô Lang, Thương Cối, Chí",
上皇常曰蒼檜之處己也近於郭子儀矣,Thượng hoàng thường viết Thương Cối chi xử kỷ dã cận ư Quách Tử Nghi hĩ,"(4: 6), (12: 15)","Thương Cối, Quách Tử Nghi",
丙子八年元至元二年春正月上皇自哀牢至京〇,Bính Tí bát niên Nguyên Chí Nguyên nhị niên xuân chính nguyệt Thượng hoàng tự Ai Lao chí kinh ,"(0: 2), (4: 7), (12: 13), (15: 17)","Bính Tí, Nguyên Chí Nguyên, Thượng, Ai Lao",
冬十月十九日上皇子皜生即裕宗也丁丑九年元至元三年夏六月二日上皇子曔生即睿宗也〇,Đông thập nguyệt thập cửu nhật Thượng hoàng tử Hạo sinh tức Dụ Tông dã Đinh Sửu cửu niên Nguyên Chí Nguyên tam niên hạ lục nguyệt nhị nhật Thượng hoàng tử Kính sinh tức Duệ Tông dã ,"(6: 7), (9: 10), (12: 14), (15: 17), (19: 22), (29: 30), (32: 33), (35: 37)","Thượng, Hạo, Dụ Tông, Đinh Sửu, Nguyên Chí Nguyên, Thượng, Kính, Duệ Tông",
五月雷震瑞章殿遏雲亭〇,Ngũ nguyệt lôi chấn Thuỵ Chương điện Át Vân đình ,"(4: 6), (7: 9)","Thuỵ Chương, Át Vân",
彗星見東北〇,Tuệ tinh hiện Đông Bắc ,(3: 5),Đông Bắc,
秋七月納平章惠肅王長女顯貞公主為宸妃〇,Thu thất nguyệt nạp Bình Chương Huệ Túc Vương trưởng nữ Hiển Trinh công chúa vi Thần phi ,"(4: 9), (11: 13), (16: 17)","Bình Chương Huệ Túc Vương, Hiển Trinh, Thần",
以阮忠彦為乂安安撫使兼國史院監修國史行快州路漕運使,Dĩ Nguyễn Trung Ngạn vi Nghệ An an phủ sứ kiêm Quốc sử viện giám tu quốc sử hành Khoái Châu lộ tào vận sứ,"(0: 4), (5: 7), (11: 12), (19: 21)","Dĩ Nguyễn Trung Ngạn, Nghệ An, Quốc, Khoái Châu",
忠彦建議立漕倉貯田租以賑饑民,Trung Ngạn kiến nghị lập Tào thương trữ điền tô dĩ chẩn cơ dân,"(0: 2), (5: 6)","Trung Ngạn, Tào",
命興孝王討平牛吼蠻,Mệnh Hưng Hiếu Vương thảo bình Ngưu Hống man,"(0: 4), (6: 8)","Mệnh Hưng Hiếu Vương, Ngưu Hống",
入鄭旗寨大破之斬其酋車焚,Nhập Trịnh Kì trại đại phá chi trảm kì tù Xa Phần,"(0: 3), (10: 12)","Nhập Trịnh Kì, Xa Phần",
興孝王援仁惠討平南戎故事請賞守舟者,Hưng Hiếu Vương viện Nhân Huệ thảo bình Nam Nhung cố sự thỉnh thưởng thủ chu giả,"(0: 3), (4: 6), (8: 10)","Hưng Hiếu Vương, Nhân Huệ, Nam Nhung",
上皇曰󰆑餘之討南戎自乂安陸行數日至南戎江乃刻木為舟,Thượng hoàng viết Khánh Dư chi thảo Nam Nhung tự Nghệ An lục hành số nhật chí Nam Nhung giang nãi khắc mộc vi chu,"(3: 5), (7: 9), (10: 12), (17: 19)","Khánh Dư, Nam Nhung, Nghệ An, Nam Nhung",
是守賊境之舟非守乂安之舟也,Thị thủ tặc cảnh chi chu phi thủ Nghệ An chi chu dã,(8: 10),Nghệ An,
興孝對曰如無守舟軍中或聞賊以獲舟軍士能堅守乎上皇曰苟如此先賞在朝方可如京師不靖軍士其能赴敵乎興孝,Hưng Hiếu đối viết Như vô thủ chu quân trung hoặc văn tặc dĩ hoạch chu quân sĩ năng kiên thủ hồ Thượng hoàng viết Câu như thử tiên thưởng tại triều phương khả như kinh sư bất tịnh quân sĩ kì năng phó địch hồ Hưng Hiếu,"(0: 2), (4: 5), (22: 23), (25: 26), (46: 48)","Hưng Hiếu, Như, Thượng, Câu, Hưng Hiếu",
是役者興孝家僮范艾預有戰功,Thị dịch giả Hưng Hiếu gia đồng Phạm Ngải dự hữu chiến công,"(3: 5), (7: 9)","Hưng Hiếu, Phạm Ngải",
上皇曰家奴雖有微撈不得預朝廷官爵,Thượng hoàng viết Gia nô tuy hữu vi lao bất đắc dự triều đình quan tước,(3: 4),Gia,
詔給艾田率五分,Chiếu cấp Ngải điền suất ngũ phần,(2: 3),Ngải,
又有保武者上皇所親愛然不置之要地非其才也如英宗之於興保云,Hựu hữu Bảo Vũ giả Thượng hoàng sở thân ái nhiên bất trí chi yêu địa phi kì tài dã như Anh Tông chi ư Hưng Bảo vân,"(2: 4), (5: 6), (21: 23), (25: 27)","Bảo Vũ, Thượng, Anh Tông, Hưng Bảo",
戊寅十年元至元四年秋八月大水〇,Mậu Dần thập niên Nguyên Chí Nguyên tứ niên thu bát nguyệt đại thuỷ ,"(0: 2), (4: 7)","Mậu Dần, Nguyên Chí Nguyên",
以恭靖王元晫為參預朝政恭定王暊為驃騎上将軍領宣光鎮,Dĩ Cung Tĩnh vương Nguyên trác vi Tham dự triều chính Cung Định vương phủ vi Phiêu Kị thượng tướng quân lĩnh Tuyên Quang trấn,"(0: 3), (4: 5), (7: 8), (11: 13), (16: 18), (22: 24)","Dĩ Cung Tĩnh, Nguyên, Tham, Cung Định, Phiêu Kị, Tuyên Quang",
己卯十一年元至元五年春改授時曆為懾紀曆時候儀郎太史局令鄧輅以前曆皆名授時請改曰懾,Kỉ Mão thập nhất niên Nguyên Chí Nguyên ngũ niên xuân cải Thụ thời lịch vi Hiệp kỷ lịch Thời Hậu nghi lang thái sử cục lệnh Đặng lộ dĩ tiền lịch giai danh Thụ thời thỉnh cải viết Hiệp,"(0: 2), (5: 8), (12: 13), (16: 17), (19: 21), (27: 28), (34: 35), (39: 40)","Kỉ Mão, Nguyên Chí Nguyên, Thụ, Hiệp, Thời Hậu, Đặng, Thụ, Hiệp",
紀帝從之,kỉ Đế tòng chi,(1: 2),Đế,
輅山明縣人輅常作玲󰍡儀考驗天象罔不脗合〇,Lộ Sơn Minh huyện nhân lộ thường tác Linh lung nghi khảo nghiệm thiên tượng võng bất vẫn hợp ,"(0: 3), (8: 9)","Lộ Sơn Minh, Linh",
秋八月十五日夜上皇子暭乘舟泛西湖溺水得之魚粱中,Thu bát nguyệt thập ngũ nhật dạ Thượng hoàng tử hạo thừa chu phiếm Tây Hồ nịch thuỷ đắc chi ngư lương trung,"(7: 8), (14: 16)","Thượng, Tây Hồ",
上皇命醫人鄒庚療治,Thượng hoàng mệnh y nhân Trâu Canh liệu trị,(5: 7),Trâu Canh,
庚曰鍼之則復蘇但恐陽痿,Canh viết Châm chi tắc phục tô đản khủng dương nuy,(2: 3),Châm,
自是人稱庚為鄒神醫,Tự thị nhân xưng Canh vi Trâu thần y,"(4: 5), (6: 7)","Canh, Trâu",
累遷冠服侯宣徽院大使兼太醫使〇,Luỵ thiên Quan phục hầu Tuyên Huy viện đại sứ kiêm Thái y sứ ,"(2: 3), (5: 7), (11: 12)","Quan, Tuyên Huy, Thái",
以張漢超為門下右司郎中〇,Dĩ Trương Hán Siêu vi Môn hạ hữu ti lang trung ,"(0: 4), (5: 6)","Dĩ Trương Hán Siêu, Môn",
仁惠王󰆑餘卒〇,Nhân Huệ Vương Khánh Dư tốt ,(0: 5),Nhân Huệ Vương Khánh Dư,
是歲熒惑入南斗留一月方出未詳某月辛巳十四年八月以後裕宗紹豊元年元,Thị tuế Huỳnh Hoặc nhập Nam Đẩu lưu nhất nguyệt phương xuất vị tường mỗ nguyệt Tân Tị thập tứ niên bát nguyệt dĩ hậu Dụ Tông Thiệu Phong nguyên niên ,"(2: 4), (5: 7), (16: 18), (25: 29)","Huỳnh Hoặc, Nam Đẩu, Tân Tị, Dụ Tông Thiệu Phong",
元至正元年春以阮忠彦為京師大尹〇,Nguyên Chí Chính nguyên niên xuân dĩ Nguyễn Trung Ngạn vi Kinh sư đại doãn ,"(0: 3), (7: 10), (11: 12)","Nguyên Chí Chính, Nguyễn Trung Ngạn, Kinh",
夏六月十一日帝崩于正寝權安殯,Hạ lục nguyệt thập nhất nhật Đế băng vu chính tẩm quàn An Tấn,"(6: 7), (12: 14)","Đế, An Tấn",
于建昌宫廟號憲宗,vu Kiến Xương cung miếu hiệu Hiến Tông,"(1: 3), (6: 8)","Kiến Xương, Hiến Tông",
史臣吳士連曰帝雖有天資之美然以弱齡嗣位國政皆出於上皇又若不及於政者所謂父在子不得自專也安得而議之哉,Sử thần Ngô Sĩ Liên viết Đế tuy hữu thiên tư chi mĩ nhiên dĩ nhược linh tự vị quốc chính giai xuất ư Thượng hoàng hựu nhược bất cập ư chính giả sở vị phụ tại tử bất đắc tự chuyên dã An đắc nhi nghị chi tai,"(2: 5), (6: 7), (24: 25), (43: 44)","Ngô Sĩ Liên, Đế, Thượng, An",
秋八月二十一日上皇迎皇子暭即皇帝位改元紹豊元年,Thu bát nguyệt nhị thập nhất nhật Thượng hoàng nghênh Hoàng tử hạo tức Hoàng đế vị cải nguyên Thiệu Phong nguyên niên,"(7: 8), (10: 11), (14: 15), (19: 21)","Thượng, Hoàng, Hoàng, Thiệu Phong",
稱裕皇,Xưng Dụ Hoàng,(0: 3),Xưng Dụ Hoàng,
群臣上尊號曰統天體道仁明光孝皇帝,Quần thần thượng tôn hiệu viết Thống Thiên Thể Đạo Nhân Minh Quang Hiếu Hoàng Đế,(6: 16),Thống Thiên Thể Đạo Nhân Minh Quang Hiếu Hoàng Đế,
